Restaurant/Bar Name,City/Area,Type,Values/Tags,Notes,Source URL
Soul Bowl,Minneapolis (North),Restaurant,"Black Owned, POC Owned",Soul food bowls by Chef Gerald & Brittney Klass; first casual soul food restaurant enterprise in US,https://www.minneapolis.org/food-drink/restaurants/black-owned/
Pimento Jamaican Kitchen,Minneapolis,Restaurant,"Black Owned, POC Owned, Immigrant Friendly",Owner Tomme Beevas known for social justice initiatives; fast-casual Jamaican,https://www.buyblack.org/articles/celebrating-juneteenth-top-black-owned-restaurants-to-support-in-the-twin-cities
Trio Plant-Based,Minneapolis (Lyn-Lake),Restaurant,"Black Owned, POC Owned, Eco-Friendly/Vegan",Twin Cities' first Black-owned vegan restaurant; community-funded after owner Louis Hunter faced injustice post-Philando Castile protest,https://www.minneapolis.org/food-drink/restaurants/black-owned/
Afro Deli,Minneapolis & St. Paul (multiple),Restaurant,"Black Owned, POC Owned, Immigrant Owned",Somali-owned fast-casual African eatery; Halal food; 4 locations,https://www.minneapolis.org/food-drink/restaurants/black-owned/
Mesob Ethiopian Restaurant,Minneapolis,Restaurant,"Black Owned, POC Owned",Ethiopian cuisine; vegetarian-friendly buffet on Sundays,https://mspmag.com/arts-and-culture/black-owned-businesses-in-the-twin-cities/
Taste of Rondo,St. Paul,Restaurant,"Black Owned, POC Owned",Cajun Catfish and Shrimp & Grits; named after historic Black St. Paul neighborhood,https://www.minnesotamonthly.com/arts-entertainment/guide-to-twin-cities-black-owned-business/
West Indies Soul Food,St. Paul,Restaurant,"Black Owned, POC Owned",Authentic Caribbean and Southern cooking; 839 University Ave,https://www.minnesotamonthly.com/arts-entertainment/guide-to-twin-cities-black-owned-business/
Angelea's Soul Food Kitchen,Minneapolis area,Restaurant,"Black Owned, POC Owned",Soul food; family-run operation inspired by matriarch Angelea Rogers,https://mspmag.com/arts-and-culture/black-owned-businesses-in-the-twin-cities/
Handsome Hog,St. Paul,Restaurant,"Black Owned, POC Owned",Southern staples by Chef Justin Sutherland; known for fried chicken,https://www.minnesotamonthly.com/arts-entertainment/guide-to-twin-cities-black-owned-business/
STEPCHLD (Stepchld),Minneapolis (NE),Restaurant,"Black Owned, POC Owned",Burgers and international flavors by Chef Kamal Mohamed,https://www.buyblack.org/articles/celebrating-juneteenth-top-black-owned-restaurants-to-support-in-the-twin-cities
Parcelle Organics,Minneapolis (NE),Restaurant,"Black Owned, POC Owned, Eco-Friendly/Organic","All organic, no seed oils; owned by Chef Kamal Mohamed",https://www.minneapolis.org/media/news-releases/whats-new-in-minneapolis-black-restaurant-scene/
The Camden Social,Minneapolis (North),Bar/Restaurant,"Black Owned, POC Owned","Cocktails, food, cigars; opened fall 2023 by the Soul Bowl and Allure Cigars families",https://www.minneapolis.org/media/news-releases/whats-new-in-minneapolis-black-restaurant-scene/
C.R.E.A.M. Cafe,Minneapolis (Mill District),Café/Restaurant,"Black Owned, POC Owned, Anti-ICE Solidarity","Coffee, brunch, cocktails; posted solidarity with immigrant community Jan 2026",https://beyondbeurreblanc.substack.com/p/a-list-of-mn-restaurants-to-visit
Klassics Kitchen + Cocktails,Minneapolis,Restaurant/Bar,"Black Owned, POC Owned, Anti-ICE Solidarity",By Soul Bowl proprietors; posted solidarity with immigrant community,https://beyondbeurreblanc.substack.com/p/a-list-of-mn-restaurants-to-visit
Dario,Minneapolis (North Loop),Restaurant,"Black Owned, POC Owned",Handmade pasta; owned by Joe Rolle and Stephen Rowe; vibrant tropical-color decor,https://www.minneapolis.org/media/news-releases/whats-new-in-minneapolis-black-restaurant-scene/
